date,close_raw,total_mv,total_shares,pe_ttm,pe_static,pe_ex_post_ntm
2022-12-01,197.4,74459415219.0,377200685,91.45300608,157.1425728,67.20954364733586
2022-12-02,203.93,76922535692.05,377200685,94.47827523,162.34085547,69.43283807498076
2022-12-05,186.5,70347927752.5,377200685,86.40316937,148.46550064,63.49837836995004
2022-12-06,188.03,70925044800.55,377200685,87.11199966,149.68347499,64.0193034042987
2022-12-07,192.37,72562095773.45,377200685,89.12266859,153.13838262,65.49696003767983
2022-12-08,195.89,73889842184.65,377200685,90.75344155,155.94051968,66.69542809056038
2022-12-09,193.45,72969472513.25,377200685,89.62301938,153.99812922,65.86467182663182
2022-12-12,191.53,72245247198.05,377200685,88.73350686,152.46969082,65.21096197960607
2022-12-13,175.07,66036523922.95,377200685,81.10779015,139.3665158,59.60676193687482
2022-12-14,174.97,65998803854.45,377200685,81.06146137,139.28690964,59.57271454900889
2022-12-15,176.8,66689081108.0,377200685,81.90927799,140.74370249,60.19578174695532
2022-12-16,169.0,63746915765.0,377200685,78.29563337,134.53442149,57.54008549341317
2022-12-19,168.53,63569631443.05,377200685,78.07788812,134.16027251,57.38006277044333
2022-12-20,167.2,63067954532.0,377200685,77.46171538,133.1015105,56.927232511826524
2022-12-21,165.37,62377677278.45,377200685,76.61389876,131.64471765,56.3041653138801
2022-12-22,162.6,61332831381.0,377200685,75.33059164,129.43962683,55.361052669993974
2022-12-23,160.0,60352109600.0,377200685,74.12604343,127.3698665,54.47582058547993
2022-12-26,171.65,64746497580.25,377200685,79.52334597,136.64398491,58.44234127186019
2022-12-27,176.72,66658905053.2,377200685,81.87221497,140.68001755,60.16854383666258
2022-12-28,179.81,67824455169.85,377200685,83.30377418,143.1398481,61.22060812171966
2022-12-29,177.0,66764521245.0,377200685,82.00193554,140.90291482,60.26387652268717
2022-12-30,180.05,67914983334.25,377200685,83.41496325,143.3309029,61.302321852597885
2023-01-03,181.71,68541136471.35,377200685,84.18402095,64.6635836,87.94570198409404
2023-01-04,172.5,65067118162.5,377200685,79.91714057,61.38609967,83.4881602127358
2023-01-05,176.52,66583464916.2,377200685,81.77955741,62.81666269,85.43379733769348
2023-01-06,182.8,68952285218.0,377200685,84.68900462,65.05147258,88.47325035877162
2023-01-09,179.0,67518922615.0,377200685,82.92851109,63.69919908,86.63409088741861
2023-01-10,178.7,67405762409.5,377200685,82.78952476,63.59244065,86.48889408704864
2023-01-11,174.12,65678183272.2,377200685,80.66766676,61.96259522,84.27222293473368
2023-01-12,172.5,65067118162.5,377200685,79.91714057,61.38609967,83.4881602127358
2023-01-13,170.9,64463597066.5,377200685,79.17588014,60.81672136,82.71377727742927
2023-01-16,169.01,63750687771.85,377200685,78.30026625,60.14414322,81.79903743509843
2023-01-17,174.87,65958943377.15,377188445,81.01250368,62.22747198,84.63246855933427
2023-01-18,173.0,65253600985.0,377188445,80.14618366,61.56203267,83.72743787250431
2023-01-19,171.7,64763256006.5,377188445,79.54392911,61.0994278,83.09827215438722
2023-01-20,174.56,65842014959.2,377188445,80.86888914,62.11715852,84.4824367342448
2023-01-30,181.24,68361633771.8,377188445,83.96355103,64.49423585,87.71538057810798
2023-01-31,183.11,69066976163.95,377188445,84.82987105,65.15967516,88.62041126493793
2023-02-01,171.35,64631240050.75,377188445,79.38178365,60.97488034,82.92888138412494
2023-02-02,169.79,64042826076.55,377188445,78.65907818,60.41975449,82.17388252238443
2023-02-03,166.3,62726438403.5,377188445,77.04225632,59.17783834,80.48481455605472
2023-02-06,168.2,63443096449.0,377188445,77.92247452,59.85395315,81.4043644517643
2023-02-07,170.11,64163526378.95,377188445,78.80732545,60.53362646,82.3287540837671
2023-02-08,165.85,62556703603.25,377188445,76.83378359,59.01770589,80.26702642286034
2023-02-09,175.71,66275781670.95,377188445,81.40165278,62.5263859,85.03900640796377
2023-02-10,169.0,67040347205.0,396688445,82.34071222,63.24769795,86.02002680048348
2023-02-13,167.48,66437380768.6,396688445,81.60013303,62.67884291,85.24635555352054
2023-02-14,168.7,66921340671.5,396688445,82.19454528,63.13542393,85.86732852805659
2023-02-15,166.02,65858215638.9,396688445,80.88878724,62.13244268,84.503223961043
2023-02-16,162.13,64315097587.85,396688445,78.99348919,60.67662289,82.5232363619076
2023-02-17,159.15,63132966021.75,396688445,77.5415642,59.56136762,81.00643352246713
2023-02-20,162.25,64362700201.25,396688445,79.05195596,60.72153249,82.58431567087837
2023-02-21,159.4,63232138133.0,396688445,77.66336999,59.6549293,81.13368208282287
2023-02-22,157.7,62557767776.5,396688445,76.83509063,59.01870986,80.26839187240381
2023-02-23,160.85,63807336378.25,396688445,78.36984355,60.19758707,81.8717237328862
2023-02-24,157.57,62506198278.65,396688445,76.77175162,58.97005778,80.20222262101883
2023-02-27,158.8,62994125066.0,396688445,77.3710361,59.43038126,80.8282855379691
2023-02-28,158.78,62986191297.1,396688445,77.36129164,59.42289633,80.81810565314063
2023-03-01,155.0,61486708975.0,396688445,75.51958813,58.00824368,78.89410742056177
2023-03-02,152.35,60435484595.75,396688445,74.22844679,57.01648983,77.54527268079087
2023-03-03,152.3,60415650173.5,396688445,74.20408563,56.9977775,77.51982296871972
2023-03-06,154.83,61419271939.35,396688445,75.4367602,57.94462173,78.80757839951985
2023-03-07,155.24,61581914201.8,396688445,75.63652169,58.09806289,79.01626603850329
2023-03-08,153.22,60780603542.9,396688445,74.65233093,57.34208449,77.98809767082886
2023-03-09,149.03,59118478958.35,396688445,72.61086593,55.77399068,75.85541179926658
2023-03-10,150.11,59546902478.95,396688445,73.13706693,56.17817715,76.4051255800034
2023-03-13,151.95,60276809217.75,396688445,74.03355753,56.86679114,77.34167498422168
2023-03-14,146.68,58186261112.6,396688445,71.46589153,54.89451086,74.65927533192259
2023-03-15,148.27,58816995740.15,396688445,72.24057634,55.48956316,75.46857617578512
2023-03-16,141.34,56067944816.3,396688445,68.86411991,52.8960333,71.94124608272388
2023-03-17,139.0,55139693855.0,396688445,67.72401774,52.02029594,70.7501995577941
2023-03-20,137.62,54592263800.9,396688445,67.0516498,51.50383545,70.04778750463039
2023-03-21,138.85,55080190588.25,396688445,67.65093427,51.96415893,70.67385042158065
